label,points,group_id,description,shape_type,flags,FilePath
1373195,"[[2098.727272727273, 744.2424242424241]]",,,point,{},//uniwa.uwa.edu.au/userhome/students1/23124881/Downloads/ohw23_proj_drone_georef/DATA/GCP_IMAGES/101_0001\101_0001_0002.json
1374833,"[[883.5978835978835, 976.7195767195767]]",,,point,{},//uniwa.uwa.edu.au/userhome/students1/23124881/Downloads/ohw23_proj_drone_georef/DATA/GCP_IMAGES/101_0001\101_0001_0002.json
1374909,"[[1108.7393617021278, 1332.1808510638298]]",,,point,{},//uniwa.uwa.edu.au/userhome/students1/23124881/Downloads/ohw23_proj_drone_georef/DATA/GCP_IMAGES/101_0001\101_0001_0002.json
1374953,"[[1360.3220338983053, 960.3389830508474]]",,,point,{},//uniwa.uwa.edu.au/userhome/students1/23124881/Downloads/ohw23_proj_drone_georef/DATA/GCP_IMAGES/101_0001\101_0001_0002.json
1376126,"[[1405.992509363296, 714.9812734082398]]",,,point,{},//uniwa.uwa.edu.au/userhome/students1/23124881/Downloads/ohw23_proj_drone_georef/DATA/GCP_IMAGES/101_0001\101_0001_0002.json
1373195,"[[2681.456953642384, 1598.3377483443712]]",,,point,{},//uniwa.uwa.edu.au/userhome/students1/23124881/Downloads/ohw23_proj_drone_georef/DATA/GCP_IMAGES/101_0001\101_0001_0021.json
1374833,"[[3916.471962616822, 1285.3901869158879]]",,,point,{},//uniwa.uwa.edu.au/userhome/students1/23124881/Downloads/ohw23_proj_drone_georef/DATA/GCP_IMAGES/101_0001\101_0001_0021.json
1374953,"[[3434.0970350404314, 1314.55525606469]]",,,point,{},//uniwa.uwa.edu.au/userhome/students1/23124881/Downloads/ohw23_proj_drone_georef/DATA/GCP_IMAGES/101_0001\101_0001_0021.json
1374909,"[[3542.027820710973, 952.0525502318392]]",,,point,{},//uniwa.uwa.edu.au/userhome/students1/23124881/Downloads/ohw23_proj_drone_georef/DATA/GCP_IMAGES/101_0001\101_0001_0021.json
1376126,"[[3483.6, 1610.5]]",,,point,{},//uniwa.uwa.edu.au/userhome/students1/23124881/Downloads/ohw23_proj_drone_georef/DATA/GCP_IMAGES/101_0001\101_0001_0021.json
1373195,"[[1656.4784053156147, 395.4595791805094]]",,,point,{},//uniwa.uwa.edu.au/userhome/students1/23124881/Downloads/ohw23_proj_drone_georef/DATA/GCP_IMAGES/101_0001\101_0001_0068.json
1374833,"[[1882.2397179788486, 1186.8390129259694]]",,,point,{},//uniwa.uwa.edu.au/userhome/students1/23124881/Downloads/ohw23_proj_drone_georef/DATA/GCP_IMAGES/101_0001\101_0001_0068.json
1374953,"[[1886.5406006674082, 842.3537263626254]]",,,point,{},//uniwa.uwa.edu.au/userhome/students1/23124881/Downloads/ohw23_proj_drone_georef/DATA/GCP_IMAGES/101_0001\101_0001_0068.json
1374909,"[[2330.690265486726, 946.5031605562579]]",,,point,{},//uniwa.uwa.edu.au/userhome/students1/23124881/Downloads/ohw23_proj_drone_georef/DATA/GCP_IMAGES/101_0001\101_0001_0068.json
1376126,"[[1558.1387283236995, 856.0693641618496]]",,,point,{},//uniwa.uwa.edu.au/userhome/students1/23124881/Downloads/ohw23_proj_drone_georef/DATA/GCP_IMAGES/101_0001\101_0001_0068.json
1373195,"[[3152.823920265781, 1202.1040974529346]]",,,point,{},//uniwa.uwa.edu.au/userhome/students1/23124881/Downloads/ohw23_proj_drone_georef/DATA/GCP_IMAGES/101_0001\101_0001_0099.json
1374833,"[[3725.6011315417254, 2310.7496463932107]]",,,point,{},//uniwa.uwa.edu.au/userhome/students1/23124881/Downloads/ohw23_proj_drone_georef/DATA/GCP_IMAGES/101_0001\101_0001_0099.json
1374953,"[[3593.8044596912523, 1821.7701543739279]]",,,point,{},//uniwa.uwa.edu.au/userhome/students1/23124881/Downloads/ohw23_proj_drone_georef/DATA/GCP_IMAGES/101_0001\101_0001_0099.json
1374909,"[[4153.271028037383, 1965.576323987539]]",,,point,{},//uniwa.uwa.edu.au/userhome/students1/23124881/Downloads/ohw23_proj_drone_georef/DATA/GCP_IMAGES/101_0001\101_0001_0099.json
1376126,"[[3214.4, 1841.1]]",,,point,{},//uniwa.uwa.edu.au/userhome/students1/23124881/Downloads/ohw23_proj_drone_georef/DATA/GCP_IMAGES/101_0001\101_0001_0099.json
1373195,"[[1435.5226730310267, 1709.307875894988]]",,,point,{},//uniwa.uwa.edu.au/userhome/students1/23124881/Downloads/ohw23_proj_drone_georef/DATA/GCP_IMAGES/101_0001\101_0001_0113.json
1374833,"[[1328.9803220035778, 711.2701252236136]]",,,point,{},//uniwa.uwa.edu.au/userhome/students1/23124881/Downloads/ohw23_proj_drone_georef/DATA/GCP_IMAGES/101_0001\101_0001_0113.json
1374953,"[[1260.2862254025044, 1063.8640429338104]]",,,point,{},//uniwa.uwa.edu.au/userhome/students1/23124881/Downloads/ohw23_proj_drone_georef/DATA/GCP_IMAGES/101_0001\101_0001_0113.json
1374909,"[[837.5854214123008, 929.2710706150342]]",,,point,{},//uniwa.uwa.edu.au/userhome/students1/23124881/Downloads/ohw23_proj_drone_georef/DATA/GCP_IMAGES/101_0001\101_0001_0113.json
1376126,"[[1603.3029612756266, 1064.236902050114]]",,,point,{},//uniwa.uwa.edu.au/userhome/students1/23124881/Downloads/ohw23_proj_drone_georef/DATA/GCP_IMAGES/101_0001\101_0001_0113.json
