Easting,Northing,AHD Height,img_x,img_y,Filename,EXIF:GPSLatitudeRef,EXIF:GPSLatitude,EXIF:GPSLongitudeRef,EXIF:GPSLongitude,EXIF:GPSAltitudeRef,EXIF:GPSAltitude,XMP:RtkFlag,XMP:DewarpFlag,XMP:AbsoluteAltitude,XMP:RelativeAltitude,XMP:GPSLatitude,XMP:GPSLongtitude,XMP:GimbalRollDegree,XMP:GimbalYawDegree,XMP:GimbalPitchDegree,XMP:FlightRollDegree,XMP:FlightYawDegree,XMP:FlightPitchDegree,XMP:CamReverse,XMP:GimbalReverse,XMP:CalibratedFocalLength,XMP:CalibratedOpticalCenterX,XMP:CalibratedOpticalCenterY,GPSSecondOfWeek,GPSWeekNumber,NorthOff,EastOff,VelOff,Latitude,Longitude,EllipsoideHight,Error,RTKFlag,UTCTime
394589.981,6459629.776,11.899,1832,818,101_0002_0019.JPG,S,31.99475706,E,115.8841553,0,56.148,50,1,56.15,74.99,-31.99475706,115.8841553,0,46.1,-89.9,-5.5,45.2,6.9,0,0,3666.666504,2736,1824,200028.5524,2249,"    25,N","    51,E","   186,V",-31.99475706,115.8841553,56.148,"0.015088, 0.011116, 0.028531","50,Q",44971 0.314717037037037
394562.677,6459648.234,12.401,222,1058,101_0002_0019.JPG,S,31.99475706,E,115.8841553,0,56.148,50,1,56.15,74.99,-31.99475706,115.8841553,0,46.1,-89.9,-5.5,45.2,6.9,0,0,3666.666504,2736,1824,200028.5524,2249,"    25,N","    51,E","   186,V",-31.99475706,115.8841553,56.148,"0.015088, 0.011116, 0.028531","50,Q",44971 0.314717037037037
394571.256,6459639.176,12.185,840,1100,101_0002_0019.JPG,S,31.99475706,E,115.8841553,0,56.148,50,1,56.15,74.99,-31.99475706,115.8841553,0,46.1,-89.9,-5.5,45.2,6.9,0,0,3666.666504,2736,1824,200028.5524,2249,"    25,N","    51,E","   186,V",-31.99475706,115.8841553,56.148,"0.015088, 0.011116, 0.028531","50,Q",44971 0.314717037037037
394559.016,6459634.581,12.401,560,1675,101_0002_0019.JPG,S,31.99475706,E,115.8841553,0,56.148,50,1,56.15,74.99,-31.99475706,115.8841553,0,46.1,-89.9,-5.5,45.2,6.9,0,0,3666.666504,2736,1824,200028.5524,2249,"    25,N","    51,E","   186,V",-31.99475706,115.8841553,56.148,"0.015088, 0.011116, 0.028531","50,Q",44971 0.314717037037037
394578.04,6459645.103,12.341,882,657,101_0002_0019.JPG,S,31.99475706,E,115.8841553,0,56.148,50,1,56.15,74.99,-31.99475706,115.8841553,0,46.1,-89.9,-5.5,45.2,6.9,0,0,3666.666504,2736,1824,200028.5524,2249,"    25,N","    51,E","   186,V",-31.99475706,115.8841553,56.148,"0.015088, 0.011116, 0.028531","50,Q",44971 0.314717037037037
394589.981,6459629.776,11.899,1979,1490,101_0002_0035.JPG,S,31.99438097,E,115.884106,0,56.148,50,1,56.15,75,-31.99438097,115.884106,0,-133.1,-89.9,9,-136.8,-23.6,0,0,3666.666504,2736,1824,200068.5438,2249,"    15,N","    57,E","   185,V",-31.99438097,115.884106,56.148,"0.015700, 0.011267, 0.030142","50,Q",44971 0.315179907407407
394562.677,6459648.234,12.401,3572,1228,101_0002_0035.JPG,S,31.99438097,E,115.884106,0,56.148,50,1,56.15,75,-31.99438097,115.884106,0,-133.1,-89.9,9,-136.8,-23.6,0,0,3666.666504,2736,1824,200068.5438,2249,"    15,N","    57,E","   185,V",-31.99438097,115.884106,56.148,"0.015700, 0.011267, 0.030142","50,Q",44971 0.315179907407407
394571.256,6459639.176,12.185,2962,1194,101_0002_0035.JPG,S,31.99438097,E,115.884106,0,56.148,50,1,56.15,75,-31.99438097,115.884106,0,-133.1,-89.9,9,-136.8,-23.6,0,0,3666.666504,2736,1824,200068.5438,2249,"    15,N","    57,E","   185,V",-31.99438097,115.884106,56.148,"0.015700, 0.011267, 0.030142","50,Q",44971 0.315179907407407
394559.016,6459634.581,12.401,3241,621,101_0002_0035.JPG,S,31.99438097,E,115.884106,0,56.148,50,1,56.15,75,-31.99438097,115.884106,0,-133.1,-89.9,9,-136.8,-23.6,0,0,3666.666504,2736,1824,200068.5438,2249,"    15,N","    57,E","   185,V",-31.99438097,115.884106,56.148,"0.015700, 0.011267, 0.030142","50,Q",44971 0.315179907407407
394578.04,6459645.103,12.341,2921,1634,101_0002_0035.JPG,S,31.99438097,E,115.884106,0,56.148,50,1,56.15,75,-31.99438097,115.884106,0,-133.1,-89.9,9,-136.8,-23.6,0,0,3666.666504,2736,1824,200068.5438,2249,"    15,N","    57,E","   185,V",-31.99438097,115.884106,56.148,"0.015700, 0.011267, 0.030142","50,Q",44971 0.315179907407407
394571.256,6459639.176,12.185,2884,3388,101_0002_0038.JPG,S,31.99465828,E,115.8837636,0,56.209,50,1,56.21,75.04,-31.99465828,115.8837636,0,-133.3,-89.9,0.9,-133.9,-18.4,0,0,3666.666504,2736,1824,200076.0513,2249,"    15,N","    17,E","   193,V",-31.99465828,115.8837636,56.209,"0.015872, 0.011118, 0.030368","50,Q",44971 0.315266793981481
394559.016,6459634.581,12.401,3157,2807,101_0002_0038.JPG,S,31.99465828,E,115.8837636,0,56.209,50,1,56.21,75.04,-31.99465828,115.8837636,0,-133.3,-89.9,0.9,-133.9,-18.4,0,0,3666.666504,2736,1824,200076.0513,2249,"    15,N","    17,E","   193,V",-31.99465828,115.8837636,56.209,"0.015872, 0.011118, 0.030368","50,Q",44971 0.315266793981481
394562.677,6459648.234,12.401,3494,3415,101_0002_0038.JPG,S,31.99465828,E,115.8837636,0,56.209,50,1,56.21,75.04,-31.99465828,115.8837636,0,-133.3,-89.9,0.9,-133.9,-18.4,0,0,3666.666504,2736,1824,200076.0513,2249,"    15,N","    17,E","   193,V",-31.99465828,115.8837636,56.209,"0.015872, 0.011118, 0.030368","50,Q",44971 0.315266793981481
394589.981,6459629.776,11.899,5044,1908,101_0002_0048.JPG,S,31.994201,E,115.8838038,0,56.214,50,1,56.21,75.05,-31.99420101,115.8838039,0,45.9,-89.9,7.2,43.6,-5.8,0,0,3666.666504,2736,1824,200101.0349,2249,"    37,N","     5,E","   190,V",-31.99420101,115.8838039,56.215,"0.015302, 0.011365, 0.029159","50,Q",44971 0.315555960648148
394562.677,6459648.234,12.401,3473,2155,101_0002_0048.JPG,S,31.994201,E,115.8838038,0,56.214,50,1,56.21,75.05,-31.99420101,115.8838039,0,45.9,-89.9,7.2,43.6,-5.8,0,0,3666.666504,2736,1824,200101.0349,2249,"    37,N","     5,E","   190,V",-31.99420101,115.8838039,56.215,"0.015302, 0.011365, 0.029159","50,Q",44971 0.315555960648148
