label,points,group_id,description,shape_type,flags,FilePath
1373195,"[[1831.9427207637234, 817.6610978520285]]",,,point,{},//uniwa.uwa.edu.au/userhome/students1/23124881/Downloads/ohw23_proj_drone_georef/DATA/GCP_IMAGES/101_0002\101_0002_0019.json
1374833,"[[222.1952861952865, 1057.8383838383838]]",,,point,{},//uniwa.uwa.edu.au/userhome/students1/23124881/Downloads/ohw23_proj_drone_georef/DATA/GCP_IMAGES/101_0002\101_0002_0019.json
1374953,"[[840.4642857142854, 1100.0]]",,,point,{},//uniwa.uwa.edu.au/userhome/students1/23124881/Downloads/ohw23_proj_drone_georef/DATA/GCP_IMAGES/101_0002\101_0002_0019.json
1374909,"[[559.933774834437, 1675.4900662251657]]",,,point,{},//uniwa.uwa.edu.au/userhome/students1/23124881/Downloads/ohw23_proj_drone_georef/DATA/GCP_IMAGES/101_0002\101_0002_0019.json
1376126,"[[882.1406518010293, 656.9331046312178]]",,,point,{},//uniwa.uwa.edu.au/userhome/students1/23124881/Downloads/ohw23_proj_drone_georef/DATA/GCP_IMAGES/101_0002\101_0002_0019.json
1373195,"[[1979.2332268370608, 1489.776357827476]]",,,point,{},//uniwa.uwa.edu.au/userhome/students1/23124881/Downloads/ohw23_proj_drone_georef/DATA/GCP_IMAGES/101_0002\101_0002_0035.json
1374833,"[[3571.984435797666, 1228.4046692607005]]",,,point,{},//uniwa.uwa.edu.au/userhome/students1/23124881/Downloads/ohw23_proj_drone_georef/DATA/GCP_IMAGES/101_0002\101_0002_0035.json
1374953,"[[2961.915367483296, 1194.1559020044542]]",,,point,{},//uniwa.uwa.edu.au/userhome/students1/23124881/Downloads/ohw23_proj_drone_georef/DATA/GCP_IMAGES/101_0002\101_0002_0035.json
1374909,"[[3240.8194233687404, 620.9408194233688]]",,,point,{},//uniwa.uwa.edu.au/userhome/students1/23124881/Downloads/ohw23_proj_drone_georef/DATA/GCP_IMAGES/101_0002\101_0002_0035.json
1376126,"[[2920.6231454005933, 1633.792284866469]]",,,point,{},//uniwa.uwa.edu.au/userhome/students1/23124881/Downloads/ohw23_proj_drone_georef/DATA/GCP_IMAGES/101_0002\101_0002_0035.json
1374953,"[[2884.4827586206898, 3387.793103448276]]",,,point,{},//uniwa.uwa.edu.au/userhome/students1/23124881/Downloads/ohw23_proj_drone_georef/DATA/GCP_IMAGES/101_0002\101_0002_0038.json
1374909,"[[3157.4712643678163, 2806.7586206896553]]",,,point,{},//uniwa.uwa.edu.au/userhome/students1/23124881/Downloads/ohw23_proj_drone_georef/DATA/GCP_IMAGES/101_0002\101_0002_0038.json
1374833,"[[3494.179894179894, 3415.079365079365]]",,,point,{},//uniwa.uwa.edu.au/userhome/students1/23124881/Downloads/ohw23_proj_drone_georef/DATA/GCP_IMAGES/101_0002\101_0002_0038.json
1373195,"[[5043.894736842105, 1908.157894736842]]",,,point,{},//uniwa.uwa.edu.au/userhome/students1/23124881/Downloads/ohw23_proj_drone_georef/DATA/GCP_IMAGES/101_0002\101_0002_0048.json
1374833,"[[3472.515513126492, 2155.1312649164674]]",,,point,{},//uniwa.uwa.edu.au/userhome/students1/23124881/Downloads/ohw23_proj_drone_georef/DATA/GCP_IMAGES/101_0002\101_0002_0048.json
1374953,"[[4076.983606557377, 2194.0983606557375]]",,,point,{},//uniwa.uwa.edu.au/userhome/students1/23124881/Downloads/ohw23_proj_drone_georef/DATA/GCP_IMAGES/101_0002\101_0002_0048.json
1374909,"[[3790.1666666666665, 2764.5833333333335]]",,,point,{},//uniwa.uwa.edu.au/userhome/students1/23124881/Downloads/ohw23_proj_drone_georef/DATA/GCP_IMAGES/101_0002\101_0002_0048.json
1376126,"[[4125.459688826026, 1756.4356435643563]]",,,point,{},//uniwa.uwa.edu.au/userhome/students1/23124881/Downloads/ohw23_proj_drone_georef/DATA/GCP_IMAGES/101_0002\101_0002_0048.json
1373195,"[[2990.586932447398, 1359.8006644518273]]",,,point,{},//uniwa.uwa.edu.au/userhome/students1/23124881/Downloads/ohw23_proj_drone_georef/DATA/GCP_IMAGES/101_0002\101_0002_0068.json
1374833,"[[2333.3747016706448, 1949.1646778042957]]",,,point,{},//uniwa.uwa.edu.au/userhome/students1/23124881/Downloads/ohw23_proj_drone_georef/DATA/GCP_IMAGES/101_0002\101_0002_0068.json
1374953,"[[2677.5, 1746.1]]",,,point,{},//uniwa.uwa.edu.au/userhome/students1/23124881/Downloads/ohw23_proj_drone_georef/DATA/GCP_IMAGES/101_0002\101_0002_0068.json
1374909,"[[2829.5, 2077.2]]",,,point,{},//uniwa.uwa.edu.au/userhome/students1/23124881/Downloads/ohw23_proj_drone_georef/DATA/GCP_IMAGES/101_0002\101_0002_0068.json
1376126,"[[2491.7, 1579.1]]",,,point,{},//uniwa.uwa.edu.au/userhome/students1/23124881/Downloads/ohw23_proj_drone_georef/DATA/GCP_IMAGES/101_0002\101_0002_0068.json
